id;fecha;tipo;distancia_km;duracion_min;calorias;fuente;nombre;estado
401;2021-11-17T19:39:55;Caminata;0.84;19.0;61.0;Apple;Caminata [Est];REPARADO (Estimado)
402;2021-11-14T17:28:18;Caminata;2.01;45.4;147.0;Apple;Caminata [Est];REPARADO (Estimado)
403;2021-11-12T19:47:21;Caminata;1.27;28.6;93.0;Apple;Caminata [Est];REPARADO (Estimado)
404;2021-11-11T18:36:49;Caminata;1.89;42.8;139.0;Apple;Caminata [Est];REPARADO (Estimado)
405;2021-11-10T18:52:06;Caminata;1.82;41.1;133.0;Apple;Caminata [Est];REPARADO (Estimado)
406;2021-11-08T19:19:00;Caminata;0.63;14.2;46.0;Apple;Caminata [Est];REPARADO (Estimado)
407;2021-11-07T17:49:58;Caminata;1.34;30.4;99.0;Apple;Caminata [Est];REPARADO (Estimado)
408;2021-10-14T18:14:08;Caminata;1.66;37.6;122.0;Apple;Caminata [Est];REPARADO (Estimado)
409;2021-10-05T20:00:15;Caminata;1.4;31.7;103.0;Apple;Caminata [Est];REPARADO (Estimado)
410;2021-10-04T20:57:55;Caminata;1.42;32.2;104.0;Apple;Caminata [Est];REPARADO (Estimado)
